Nr./ID;Dokument;Quelle;Anforderung;Keywords;Gefährdung;Beschreibung
98;;G 3.76;Bei der Synchronisation von mobilen Endgeräten sollten sinnvolle Regelungen für Datenkonflikte erstellt werden;Sychronisation, mobiles Endgerät, Datenkonflikt;Wenn keine oder falsche Regelungen für Datenkonflikte bei der Synchronisation von mobilen Endgeräten bestehen, kann es dazu kommen, das wichtige Daten überschrieben werden;
99;;G 3.77;Im Unternehmen und dessen Kultur sollte eine Akzeptanz von Informationssicherheit geschaffen werden;Unternehmenskultur, Informationssicherheit, Akzeptanz;Wenn bei den Mitarbeitern eines Unternehmens keine Akzeptanz für Sicherheitsmaßnahmen besteht, kann es vorkommen, dass diese zu Teilen oder vollkommen ignoriert werden;
100;;G 3.79;Speicherressourcen sollten auf Betriebssystemebene eindeutig und stark zugeordnet sein;Speicher, Betriebssystem, Zuordnung;Durch einen falschen Speicherzugriff können Daten von anderen Programmen ausgelesen, überschrieben oder manipuliert werden;
101;;G 3.80;Bei der Synchronisation von Datenbanken sollten geeignete Regeln für Datenkonflikte bestehen und die Protokolle der Synchronisation sollten auf ungewünschte Überschreibungen hin überprüft werden;Datenbank, Synchronisation, Datenkonflikt;Wenn die automatische Synchronisation von Datenbanken nicht mit geeigneten Regeln versehen ist oder die Regeln nicht immer zutreffen kann es zum unerwünschten Überschreiben von Daten kommen;
102;;G 3.81;Wenn zur Konfiguration von Software Vorlagen in Form von Dateien benutzt werden, sollten diese gründlich geprüft und getestet werden bevor sie angewandt werden;Software, Konfiguration, Vorlage;Wenn falsche oder fehlerhafte Vorlagen eingespielt werden, kann das die Funktionsfähigkeit und Sicherheit der Software erheblich beeinträchtigen;
103;;G 3.82;Bei der Einrichtung eines VoIP Anrufbeantworters der Audiodateien an Emailadresse versendet sollte größte Sorgfalt bei der Administrierung der Zieladressen walten gelassen werden;VoIP, Anrufbeantworter, Email;Wenn die Zieladresse falsch eingetragen wurde, kann es sein, dass der Mitarbeiter wichtige Informationen nicht erhält oder, im schlimmsten Fall, sensible Informationen mittels der Audiodatei an einen unbefugten Empfänger geschickt werden;
104;;G 3.84;Die Konfiguration von unterschiedlichen WLAN Access Points sollten einheitlich vorgenommen werden;WLAN, Access Point, Konfiguration;Bei uneinheitlicher Konfiguration der WLAN Access Points kann es zu Verfügbarkeitsproblemen und Sicherheitslücken kommen;
105;;;Wenn Mitarbeiter in fremden Umgebungen oder an Hotspots ihr WLAN nutzen, sollte die Firewall richtig konfiguriert und eingeschaltet sein;WLAN, Hotspot, Firewall;Bei unzureichendem Schutz in fremden WLANs oder Hotspots kann es unbefugten Zugriff auf das Gerät kommen;
106;;G 3.85;Bei der Verlegung neuer Kabeltrassen sollte eine anschließende Überprüfung der Brandschotten stattfinden;Kabeltrassen, Brandschotten, Feuer;Wenn nach den Umbauarbeiten keine Überprüfung des Brandschutzes stattfindet kann das zu erheblichen Brandschutzmängeln bei einem Feuer führen;
107;;G 3.88;Besonders bei der Vergabe von Zugriffsrechten auf das Dateisystem sollte äußerste Sorgfalt walten gelassen werden;Rechte, RBAC, Dateisystem, Zugriffssache;Wenn Zugriffsrechte oder Administrationsrechte für das Dateisystem falsch vergeben werden, kann das ganze System kompromitiert, gelöscht, blockiert und nicht mehr vor unbefugten Zugriff geschützt werden;
108;;G 3.90;Vor der Einwahl in ein VPN Netz sollte der Client PC regelmäßig auf Schadsoftware untersucht werden;VPN, Schadsoftware, Überprüfung;Wenn die Client PCs, die sich in ein Firmen VPN einwählen, nicht frei von Schadsoftware sind, können diese ins interne Firmennetz gelangen;
109;;;Wenn die Verbindung zu einem VPN hergestellt ist, sollte die Verwendung von unautorisierter Software vermieden werden;VPN, Autorisiert, Software;Bei der Nutzung von unautorisierter Software über ein VPN kann es zu Sicherheitslücken kommen;
110;;G 3.92;Aktualisierungen und Patches sollten nach ihrer Sicherheitsrelevanz priorisiert werden;Aktualisierung, Patch, Sicherheit;Wenn zu erst unwichtige Aktualisierungen getätigt werden bleiben potentielle Sicherheitslücken länger geöffnet;
111;;G 3.100;Bevor Datensicherungen oder Snapshots in ein Programm, Betriebssystem oder eine virtuelle Maschine eingespielt werden, sollte eingehend überprüft werden ob Sicherheitsrelevante Einstellungen überschrieben werden;Backup, Snapshot, Datensicherung, Konfiguration;Wenn eine Datensicherung oder ein Snapshot aufgespielt werden, kann es vorkommen das veraltete Sicherheitseinstellungen wieder aktiv werden bzw. neue Sicherheitseinstellungen überschrieben werden, was zur Öffnung von bereits geschlossenen Sicherheitslücken führen kann;
112;;;Bevor Datensicherungen oder Snapshots erstellt werden, sollten vorher alle Schreibvorgänge auf diese Daten abgeschlossen oder verhindert werden;Backup, Snapshot, Datensicherung;Wenn Dateien während der Erstellung einer Sicherung oder eines Snapshots beschrieben werden, können diese in einem inkosistenten oder zerstörten Zustand gesichert werden;
113;;G 3.101;Bei der Nutzung von Gastwerkzeugen in virtuellen IT-System sollte geprüft werden, ob diese geltende Sicherheitsrichtlinien umgehen;Virtualisierung, Sicherheit, Rechte, Gastwerkzeug;Es kann vorkommen, dass Gastwerkzeuge für virtuelle IT-Systeme deren geltende Sicherheitsrichtlinien umgehen oder übergehen und so unbefugten Zugang gewähren oder Aktionen ausführen, die eigentlich verboten sind;
114;;G 3.105;Die Nutzung externer Dienstleister sollte vertraglich oder anderweitig bindend geregelt sein;Externe Dienstleister, Vertrag, Regel;Wenn die Nutzung externer Dienstleister nicht vertraglich oder anderweitig geregelt sind, kann es dazu kommen, das Mitarbeiter diese Nutzen und so vertrauliche Daten an Unbefugte gelangen;
